+12055381807,Portfolio Recovery
+14802679536,Spam
+18322109014,Bad 6
+19133120548,CALLChristie Rao
+17755738987,Adv Arush
+13057049968,Martin Air
+17027494912,La Escuela
+14694700992,Suspected Spam Security Global
+17027180425,Spam
+19403158050,Spam
+18669996480,BlackList
+17312566897,Portflio Recovery Recovery
+12026587468,Inc Pld
+19143735977,CALLSpam Scam Pay Day Loans
+19167588644,SPAM
+12027704602,I Don't Know Washington Dc
+17023596296,z Scam Free Cruise
+17028477224,Spam
+13057604895,Callmike
+14075152822,Etour
+17023816849,Spam
+18442409758,Fingerhut
+13156655113,Telemarketer
+12127773456,CALLMovie Latest
+17024890710,Customer Servic
+17029010695,Spam
+17026666232,Spam
+17023310880,Nicholas N
+15712812135,Spam
+14155343534,Money Making Scam
+18563340593,MARKETING
+17023835054,cox...
+12542123059,SPAM
+16149079027,Spam
+18005153807,CALLTop Spammer
+12097276002,CALLSaveourloan
+16193639217,San Diego
+17022912205,Spam
+17027932227,SPAM
+17029973566,Spam
+18138826582,Vacation Ser Ices
+17173897702,Vasudhaa
+18008896573,D C
+17026338034,Quantum
+17025143701,Under Managed
+17029308405,SPAM
+17754190330,Spam
+17029330937,Lvac
+13102857727,Telemarketer
+17027201557,2
+18882224227,Santander
+15702071892,SPAM
+17328672871,CALLCredit One Bank
+16208601572,CALLPortfolio Recov
+13137316523,SPAM
+17024874546,Justin
+12014771842,Ecole Vegas
+17024566637,Carpet Cleaning 5 rooms 79
+12143087010,Ted Cruz?
+17752382227,LC AUTO INSURANCE SPAM
+17314103151,Suspected Spam Portfolio Recov
+18017690983,A
+17029835905,Larryln
+16194890093,CALLI
+17023894785,Erica
+18552982545,Denver Career Fair
+18323193990,CALLIp Communicatio
+16208600202,Portflio Recovery Recovery
+17025143874,In Our Database
+15155287963,Canadian Pharmacy
+18776478552,Wells Fargo
+17574472583,CALLPortfolio Recovery
+14692707095,SPAM
+13304335979,Walmart
+12532446151,CREDIT ONE BANK
+18585244881,SPAM
+12283251039,Spam
+17029835917,Qsaw D E A D F B A E
+17024251452,Spam
+17026230937,Spam
+13103596598,Xactcall Corpor
+17027072730,Spam
+18555372421,CALLService 800
+17023894787,Spam
+14259176040,SPAM
+17029583221,Spam
+16072030224,CALLSpam
+17073462163,Don Miguelo
+18323653430,Health care sales call
+15127578111,Spam
+12028003000,Fake Irs Agent Caller
+17752348173,Education Loan Solicition
+18669606330,Good Hands Lending
+17759844307,Spam
+12027384405,CALLFake U.s. Grant Dept
+17026592566,Suspected Spam Angel Hernandez
+18622315174,No Se
+17024702682,Spam
+17025054976,SPAM
+17027811434,SPAM
+17199742502,SPAM
+13609287144,CREDIT ONE BANK
+17027269513,Petco survet
+17026285421,Collection Agency
+17024702678,Spam
+18133215186,SPAM
+18002364300,Great Lakes
+18133669800,SPAM
+18669996460,SPAM
+17023894781,Spam
+12052386074,Portfolio Recovery
+17027180415,Las Vegas NV
+18773849041,Charter
+17022917106,Spam
+12134566756,CALLFederal Grant Scam
+17754320240,Doganjr
+17027078598,BILL COLLECTOR2-COOP
+17027864810,Marketing
+18009378942,T-MOBILE
+18602375816,This Company Does Identify Themselves
+17203982700,SPAM
+17029835921,Spam
+15204482370,Spam
+18554027650,Charter
+17029831329,SPAM
+12162087169,Automated Google Add
+18443250807,CALLService 800
+17027180421,Cox Promotion
+18505679657,Balaji
+17023899406,Spam
+17754611270,Spam
+18882482509,IQ Data
+14013792070,Student Loan Help Center
+17027070688,Spam
+16148901031,JP MORGAN CHASE
+17028796148,Spam
+18447699878,CALLAshly
+17573201592,Portfolio Recovery Services
+17024183011,Casting
+19542481664,CALLDon't Know
+12092693583,Callspam
+17322100446,CALLCamel
+17012481143,CALLL7 Srvc
+17027518630,z Scam BusDirList
+17025346636,Spam
+12132179999,CALLJohn E Holt
+19164033480,Suspected Spam Efls
+18622312552,New Jersey
+12024444444,Kailash Hospital Kailash Hospital
+17312569336,Portfolio recovery
+19152671132,Everett W Blackburn
+18436194192,Credit One
+17028747931,z Scam Free Cruise
+17027012538,Spam
+18552550621,CALLBill Collecter
+17024307225,Josh Freind Cashimer
+17028503150,Recorded Line Advertise
+17755576310,Spam
+15759935805,CALLLas Cruces Nm
+13057049967,Hari-USA-2 Air Martin
+15625285913,Premier Credit Card
+17024460792,z Scam Free Cruise
+19846643933,Pharmacy Spam
+17754192180,look
+18002215689,SNAP. FOODSTAMPS
+13059987713,Modle Agent
+16207084298,Portflio Recovery Recovery
+17027070006,Spam
+18442866507,Er Collection
+17752348173,Local
+14253368439,Refinance Cash
+17752856535,Andres
+18447699880,CALL800 Service
+18773945975,SPAM☀️
+18773737652,Solar City
+13109294025,Cablegardena
+14805058859,My Daddy.com
+19167403994,Solar City
+17029444115,Junk from Vegas
+17027180424,Spam
+17755530607,Spam
+15165433272,Collection Agency
+17048423066,CALLI Don't Know.
